brand,count,MST 1,MST 2,MST 3,MST 4,MST 5,MST 6,MST 7,MST 8,MST 9,MST 10
ARMANI,337,4.925249089640417,61.352709115221906,7.469771296553614,7.517881382120312,4.50246533875651,0.5520612494208076,1.0567500477194207,10.926841432942798,1.6954535933403565,0.0008174542838691746
BIOTHERM,80,1.7580602985694576,89.42791230804481,1.5724381944932169,1.1291773177696682,0.0,0.0,0.0,2.6463606167518106,3.4660512643710333,0.0
CERAVE,239,8.45066460609515,79.13502936586345,6.5548036383423005,1.106554734524893,1.5629042654367613,0.44549635912179353,1.202293610404193,1.5204237423807236,0.021829677830719776,0.0
GARNIER,1825,6.160333720120541,74.77889392594577,3.7172436495745296,7.126583073691779,2.6655359573339537,0.3697239008776108,0.7129379717504954,4.356003088861484,0.11274471184383307,0.0
KERASTASE,335,19.467256426044475,72.28337898946816,1.208901111140196,1.433939338688061,0.9830212313104052,0.14952068632098214,0.5622786575688637,3.6228052988891943,0.2888982605696641,0.0
KIEHLS,429,2.9682479843758505,67.72371536727704,3.257356706786483,8.105681029684165,6.150064247032972,1.8668371632007617,5.007494261139402,4.909333912505264,0.011269327998068778,0.0
LANCOME,504,5.384528370586994,74.35859602613111,3.7059484295127936,9.519261000232419,2.12133119951596,0.2422064525419734,0.7937140922567375,3.707972241472424,0.16331757832576047,0.003124609423822022
LOP,110,9.825873342077834,81.87001104850692,3.043337032764556,1.9833297193823378,1.810765121987948,0.1822562558981938,0.463811913591288,0.8206155657909322,0.0,0.0
LRP,631,4.097947459903218,67.40325874158977,3.524238744685641,2.3148512675321706,4.788421109410839,4.252588251825523,1.9597596288517978,11.647045138246952,0.011889657954105919,0.0
MNY,754,8.121757273384793,66.99710719820894,3.880790095157528,9.240887687274112,3.9071863174706745,0.7131389074337684,2.6436046381922473,4.481021914708185,0.014505968169761274,0.0
NYX,286,5.739002347775085,57.546242295054995,3.475769994149313,4.302296027330375,8.328096632085096,1.0508792681992716,5.545620587114395,14.012092848291472,0.0,0.0
OAP,880,6.318181746097697,70.98058386062563,4.437873258440585,8.506746015022117,3.463771588201014,0.4888313338205244,1.1748593512629069,4.254531627926516,0.3746212186030173,0.0
PRADA,84,0.8690536697652711,80.79306822693901,5.500958861655967,3.124247191185276,0.7047366150178939,0.5895745233005086,0.9605632648294771,7.079070783627354,0.37350547687891217,0.0052213868003341685
REDKEN,30,7.144857789202943,76.29826717018341,2.061884699508224,5.308916366823642,6.035966059880299,0.20788401629523126,2.9101726160549695,0.032051282051282055,0.0,0.0
VICHY,511,5.824181183329932,82.9354910777944,0.6846759813923345,6.271071444680203,2.0019350567495886,0.010528794718482061,0.04852452056718876,2.130083493417617,0.09350844735025175,0.0
YSL,613,9.197904648657573,58.490534662455474,4.6966195910468445,4.24943336400217,2.9165595587255035,0.3938600474887881,1.9276199185392906,15.715946201472095,2.395097052867312,0.016424954744949205
